event_id,entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,auth_success,session_duration,command_sequence,device_fingerprint
EVT-0000013,SVC_059,service_account,2026-06-01 03:52:51.399515,10.30.25.115,Pune,/email,api_key,True,2.47,scp|export_csv|netstat|export_csv|export_csv,DEV_797
EVT-0000014,USER_008,human_user,2026-06-01 04:02:47.535460,10.33.40.87,Pune,/wiki,mfa_push,True,36.26,export_csv|export_csv,DEV_698
EVT-0000015,USER_035,human_user,2026-06-01 04:09:47.483491,10.30.57.237,Pune,/hr-portal,mfa_otp,True,5.44,ssh|git_pull,DEV_206
EVT-0000016,USER_036,human_user,2026-06-01 04:19:45.110553,10.36.152.6,Pune,/email,password,True,7.05,git_pull|query_db|netstat|query_db|ssh,DEV_564
EVT-0000017,SVC_059,service_account,2026-06-01 04:37:15.829512,10.30.25.32,Pune,/email,api_key,True,2.3,netstat|scp,DEV_797
EVT-0000018,SVC_060,service_account,2026-06-01 04:37:28.626911,10.18.165.99,Hyderabad,/telemetry,api_key,True,4.18,cd|scp|rdp_connect|rdp_connect,DEV_160
EVT-0000019,EDGE_067,edge_device,2026-06-01 04:48:39.798046,192.168.131.8,Bengaluru,/firmware-update,certificate,True,0.87,cd|cat|cat|cd,SecureRTOS-3.4/D4:E9:1D:EC:9D:0B
EVT-0000020,EDGE_066,edge_device,2026-06-01 05:00:06.154210,192.168.20.123,Singapore,/sensor-data,certificate,True,0.68,cat|cat|export_csv|export_csv|cat,EdgeOS-2.1/E4:B9:27:39:1F:67
EVT-0000021,USER_017,human_user,2026-06-01 05:06:06.499212,10.4.199.157,Hyderabad,/email,sso,True,42.39,query_db|query_db|git_pull,DEV_458
EVT-0000022,USER_017,human_user,2026-06-01 05:07:54.330629,10.4.199.8,Chennai,/hr-portal,sso,True,46.31,ps_aux|curl,DEV_458
EVT-0000023,USER_036,human_user,2026-06-01 05:15:09.836388,10.36.152.248,Pune,/email,password,True,13.97,grep|netstat|git_pull|grep|netstat,DEV_564
EVT-0000024,SVC_056,service_account,2026-06-01 05:19:19.295989,10.19.57.76,Delhi,/sensor-data,api_key,True,2.72,export_csv|git_pull|whoami|export_csv|git_pull,DEV_404
EVT-0000025,USER_003,human_user,2026-06-01 05:23:15.300299,10.14.210.181,Mumbai,/wiki,password,True,38.94,query_db|cat|export_csv|whoami|ssh|query_db,DEV_801
EVT-0000026,SVC_063,service_account,2026-06-01 05:25:38.664097,10.21.202.57,Chennai,/github,api_key,True,1.02,ps_aux|ps_aux,DEV_402
EVT-0000027,SVC_059,service_account,2026-06-01 05:25:44.820131,10.30.25.185,Pune,/email,api_key,True,2.97,export_csv|netstat|scp|scp|netstat,DEV_797
EVT-0000028,EDGE_067,edge_device,2026-06-01 05:26:01.753204,192.168.131.173,Bengaluru,/sensor-data,certificate,True,0.77,cd|cd|cat|cd,SecureRTOS-3.4/D4:E9:1D:EC:9D:0B
EVT-0000029,SVC_060,service_account,2026-06-01 05:40:34.556143,10.18.165.226,Hyderabad,/telemetry,api_key,True,1.74,scp|rdp_connect|rdp_connect,DEV_160
EVT-0000030,USER_017,human_user,2026-06-01 05:46:43.660739,10.4.199.46,Chennai,/hr-portal,sso,True,44.6,curl|query_db|ps_aux|query_db|ps_aux|ps_aux,DEV_458
EVT-0000031,SVC_061,service_account,2026-06-01 05:48:01.145016,10.25.201.157,Chennai,/sensor-data,api_key,True,1.71,git_push|cd,DEV_607
EVT-0000032,EDGE_068,edge_device,2026-06-01 05:56:43.536276,192.168.196.225,Bengaluru,/telemetry,certificate,True,0.57,ps_aux|ps_aux,SecureRTOS-3.4/45:D7:BF:C3:E5:C1
EVT-0000033,EDGE_066,edge_device,2026-06-01 06:00:17.292719,192.168.20.76,Singapore,/firmware-update,certificate,True,0.78,export_csv|cat|cat|export_csv|export_csv,EdgeOS-2.1/E4:B9:27:39:1F:67
EVT-0000034,USER_003,human_user,2026-06-01 06:01:59.555865,10.14.210.206,Mumbai,/hr-portal,password,True,53.9,ssh|query_db|whoami,DEV_801
EVT-0000035,USER_008,human_user,2026-06-01 06:02:07.750359,10.33.40.49,Pune,/wiki,mfa_push,True,8.0,curl|sudo_su|sudo_su|cd|sudo_su|cd,DEV_698
EVT-0000036,USER_014,human_user,2026-06-01 06:06:42.142057,10.40.147.92,Mumbai,/wiki,mfa_otp,True,34.17,netstat|wget|ps_aux,DEV_566
EVT-0000037,USER_023,human_user,2026-06-01 06:08:30.732182,10.38.191.153,Singapore,/hr-portal,mfa_push,True,26.02,whoami|query_db|cd,DEV_269
EVT-0000038,USER_002,human_user,2026-06-01 06:09:55.037226,10.24.20.128,Hyderabad,/telemetry,password,True,27.27,ps_aux|git_pull|query_db|sudo_su|sudo_su|sudo_su,DEV_926
EVT-0000039,USER_036,human_user,2026-06-01 06:10:43.041004,10.36.152.172,Pune,/email,password,True,21.6,ssh|export_csv|ssh,DEV_564
EVT-0000040,USER_008,human_user,2026-06-01 06:20:04.638613,10.33.40.17,Pune,/wiki,mfa_push,True,33.58,sudo_su|curl|export_csv|grep,DEV_698
EVT-0000041,USER_021,human_user,2026-06-01 06:22:10.150554,10.6.223.137,Chennai,/source-control-prod,sso,True,40.15,sudo_su|ps_aux|wget|grep|grep|sudo_su,DEV_229
EVT-0000042,EDGE_069,edge_device,2026-06-01 06:22:52.330091,192.168.193.111,Chennai,/sensor-data,certificate,True,0.67,cd|netstat,EdgeOS-2.1/0B:98:ED:D9:C2:75
EVT-0000043,USER_007,human_user,2026-06-01 06:24:28.999855,10.34.214.201,Mumbai,/sensor-data,mfa_otp,True,12.64,ps_aux|ls|ps_aux,DEV_151
EVT-0000044,USER_028,human_user,2026-06-01 06:27:12.152324,10.24.158.27,Mumbai,/customer-data,api_key,False,33.05,scp|git_push|cat|git_push|scp,DEV_679
EVT-0000045,USER_035,human_user,2026-06-01 06:28:30.278167,10.30.57.248,Pune,/sensor-data,mfa_otp,True,29.53,ls|git_pull|scp|ssh|ls,DEV_460
EVT-0000046,USER_022,human_user,2026-06-01 06:29:42.980958,10.13.160.61,Singapore,/wiki,biometric,True,28.34,ssh|ssh|whoami|wget|git_push|query_db,DEV_412
EVT-0000047,USER_050,human_user,2026-06-01 06:31:14.005693,10.3.212.130,Delhi,/wiki,sso,True,14.31,sudo_su|grep|cat,DEV_886
EVT-0000048,EDGE_066,edge_device,2026-06-01 06:31:48.505845,192.168.20.223,Singapore,/sensor-data,certificate,True,0.73,cat|export_csv|cat|cat|export_csv|cat,EdgeOS-2.1/E4:B9:27:39:1F:67
EVT-0000049,EDGE_065,edge_device,2026-06-01 06:33:32.440783,192.168.197.107,Pune,/telemetry,certificate,True,0.5,curl|curl|curl,EdgeOS-2.1/9F:3C:97:BC:71:70
EVT-0000050,USER_038,human_user,2026-06-01 06:38:08.358125,10.12.231.177,Bengaluru,/email,mfa_push,True,39.38,ps_aux|scp|query_db,DEV_622
EVT-0000051,USER_021,human_user,2026-06-01 06:39:15.294837,10.6.223.168,Chennai,/github,sso,True,45.76,git_push|git_push|grep|sudo_su|ps_aux,DEV_229
EVT-0000052,USER_032,human_user,2026-06-01 06:42:20.113261,10.15.253.239,Pune,/internal-api,mfa_push,True,14.13,ls|ssh|netstat|git_pull|ls,DEV_151
EVT-0000053,USER_028,human_user,2026-06-01 06:55:16.654670,10.24.158.122,Mumbai,/telemetry,password,True,32.55,git_push|rdp_connect|cat|cat,DEV_911
EVT-0000054,USER_028,human_user,2026-06-01 06:56:15.390741,10.24.158.96,Mumbai,/customer-data,password,True,30.06,cat|git_push|wget|rdp_connect|scp,DEV_679
EVT-0000055,USER_013,human_user,2026-06-01 07:00:31.606282,10.25.140.202,Delhi,/hr-portal,mfa_push,True,22.88,cd|zip_archive|cd|export_csv,DEV_793
EVT-0000056,USER_037,human_user,2026-06-01 07:00:42.466867,10.8.97.201,Singapore,/telemetry,mfa_otp,True,30.86,ps_aux|git_push,DEV_107
EVT-0000057,USER_023,human_user,2026-06-01 07:00:47.588765,10.38.191.14,Singapore,/telemetry,token,True,39.87,cat|curl|query_db|curl|scp,DEV_269
EVT-0000058,USER_035,human_user,2026-06-01 07:02:27.445895,10.30.57.45,Pune,/github,token,True,18.72,git_pull|git_pull|ls|git_pull|ssh,DEV_206
EVT-0000059,USER_028,human_user,2026-06-01 07:02:51.016298,10.24.158.245,Mumbai,/github,password,True,19.25,scp|cat|wget|wget|git_push,DEV_911
EVT-0000060,USER_015,human_user,2026-06-01 07:03:13.890194,10.16.192.57,Singapore,/backup-vault,mfa_otp,True,22.58,rdp_connect|grep|sudo_su,DEV_556
EVT-0000061,USER_029,human_user,2026-06-01 07:07:32.329025,10.38.190.154,Chennai,/wiki,sso,True,13.3,ps_aux|cd,DEV_679
EVT-0000062,USER_007,human_user,2026-06-01 07:10:10.695623,10.34.214.14,Mumbai,/sensor-data,mfa_otp,True,24.53,scp|curl|curl|curl|ps_aux,DEV_151
EVT-0000063,USER_043,human_user,2026-06-01 07:11:04.873552,10.10.69.198,Pune,/source-control-prod,password,False,53.64,cd|ps_aux|netstat|netstat|ps_aux,DEV_391
EVT-0000064,USER_023,human_user,2026-06-01 07:13:31.748984,10.38.191.100,Singapore,/hr-portal,mfa_push,True,32.94,scp|curl|query_db|cd,DEV_269
EVT-0000065,USER_018,human_user,2026-06-01 07:13:40.224913,10.6.178.59,Delhi,/email,mfa_push,True,25.0,whoami|wget|wget,DEV_832
EVT-0000066,USER_034,human_user,2026-06-01 07:18:17.395216,60.185.107.83,Singapore,/github,mfa_push,True,13.11,netstat|zip_archive|netstat,SPOOF_5397
EVT-0000067,USER_015,human_user,2026-06-01 07:20:19.545118,10.16.192.214,Singapore,/telemetry,mfa_otp,True,35.96,query_db|rdp_connect|export_csv|rdp_connect,DEV_950
EVT-0000068,USER_002,human_user,2026-06-01 07:21:40.859550,10.24.20.16,Hyderabad,/email,certificate,True,35.55,ps_aux|sudo_su|ps_aux|sudo_su|ps_aux,DEV_144
EVT-0000069,USER_031,human_user,2026-06-01 07:23:26.172147,10.8.99.234,Chennai,/telemetry,sso,True,52.45,query_db|curl|cd,DEV_604
EVT-0000070,USER_051,human_user,2026-06-01 07:23:35.173952,10.5.11.68,Singapore,/hr-portal,sso,True,21.69,sudo_su|export_csv|export_csv|wget|query_db|wget,DEV_945
EVT-0000071,USER_009,human_user,2026-06-01 07:30:29.852327,10.32.67.234,Mumbai,/telemetry,mfa_push,True,7.66,cd|sudo_su|sudo_su|zip_archive|query_db|sudo_su,DEV_175
EVT-0000072,USER_028,human_user,2026-06-01 07:31:34.152315,10.24.158.7,Mumbai,/telemetry,password,True,16.13,scp|wget|scp|rdp_connect|cat|git_push,DEV_911
EVT-0000073,USER_055,human_user,2026-06-01 07:32:56.919805,10.20.107.231,Bengaluru,/hr-portal,mfa_push,True,35.51,sudo_su|export_csv|git_pull|curl,DEV_295
EVT-0000074,USER_014,human_user,2026-06-01 07:34:24.547870,10.40.147.59,Mumbai,/wiki,mfa_otp,True,18.57,netstat|wget|netstat|scp|netstat,DEV_566
EVT-0000075,SVC_060,service_account,2026-06-01 07:36:30.762098,10.18.165.75,Hyderabad,/telemetry,api_key,True,3.01,rdp_connect|rdp_connect|rdp_connect|scp|cd|rdp_connect,DEV_160
EVT-0000076,USER_023,human_user,2026-06-01 07:37:55.459655,10.38.191.238,Singapore,/telemetry,sso,True,33.65,rdp_connect|rdp_connect|whoami|query_db|whoami|whoami,DEV_269
EVT-0000077,SVC_056,service_account,2026-06-01 07:38:30.733259,10.19.57.173,Delhi,/sensor-data,api_key,True,1.29,whoami|git_pull|export_csv,DEV_404
EVT-0000078,USER_035,human_user,2026-06-01 07:38:36.083656,10.30.57.190,Pune,/wiki,mfa_otp,True,16.81,ssh|git_pull|ssh|git_pull,DEV_206
EVT-0000079,USER_022,human_user,2026-06-01 07:40:06.321217,10.13.160.31,Singapore,/wiki,sso,True,23.77,query_db|whoami|wget,DEV_412
EVT-0000080,USER_036,human_user,2026-06-01 07:40:54.602783,10.36.152.103,Pune,/email,password,True,13.01,export_csv|ssh|ps_aux|export_csv,DEV_449
EVT-0000081,USER_039,human_user,2026-06-01 07:41:38.663123,10.4.79.121,Mumbai,/telemetry,sso,True,15.17,zip_archive|query_db,DEV_915
EVT-0000082,USER_028,human_user,2026-06-01 07:42:56.275744,10.24.158.222,Mumbai,/internal-api,password,True,28.27,rdp_connect|rdp_connect|cat,DEV_911
EVT-0000083,USER_018,human_user,2026-06-01 07:43:13.609923,10.6.178.47,Delhi,/hr-portal,mfa_push,True,25.1,scp|grep|scp|grep,DEV_832
EVT-0000084,USER_029,human_user,2026-06-01 07:46:29.835819,10.38.190.67,Chennai,/wiki,sso,True,12.36,git_push|grep|ps_aux|ps_aux,DEV_381
EVT-0000085,USER_014,human_user,2026-06-01 07:47:04.915708,10.40.147.162,Mumbai,/source-control-prod,mfa_otp,True,18.75,netstat|ps_aux|scp|ps_aux|ps_aux|scp,DEV_566
EVT-0000086,SVC_057,service_account,2026-06-01 07:50:35.060380,10.22.244.228,Mumbai,/hr-portal,api_key,True,3.25,cat|query_db,DEV_891
EVT-0000087,USER_029,human_user,2026-06-01 07:50:51.618347,10.38.190.210,Chennai,/telemetry,sso,True,22.01,git_push|ps_aux|ps_aux|cd|git_push|cd,DEV_381
EVT-0000088,SVC_061,service_account,2026-06-01 07:51:18.419804,10.25.201.245,Chennai,/sensor-data,api_key,True,1.71,git_push|git_push|ls|ls|cd,DEV_607
EVT-0000089,USER_007,human_user,2026-06-01 07:53:45.982686,10.34.214.213,Mumbai,/sensor-data,mfa_otp,True,12.69,ps_aux|ps_aux|ps_aux,DEV_151
EVT-0000090,USER_030,human_user,2026-06-01 07:54:39.871228,10.4.36.38,Singapore,/github,mfa_otp,True,48.34,cd|git_pull|cd|cd|grep,DEV_925
EVT-0000091,USER_021,human_user,2026-06-01 07:57:44.719701,10.6.223.141,Chennai,/github,sso,True,41.9,cat|grep|ps_aux|cat|grep,DEV_229
EVT-0000092,SVC_063,service_account,2026-06-01 08:00:06.822670,10.21.202.60,Chennai,/github,api_key,True,1.51,netstat|netstat|ps_aux,DEV_402
EVT-0000093,SVC_061,service_account,2026-06-01 08:03:52.476281,10.25.201.237,Chennai,/sensor-data,mfa_push,True,2.26,git_push|ls|cd,DEV_607
EVT-0000094,USER_053,human_user,2026-06-01 08:04:45.431026,10.23.195.199,Hyderabad,/email,mfa_push,True,33.22,query_db|query_db|query_db|ssh,DEV_108
EVT-0000095,EDGE_065,edge_device,2026-06-01 08:06:12.962390,192.168.197.62,Pune,/telemetry,certificate,True,0.56,rdp_connect|curl|rdp_connect|rdp_connect|curl|rdp_connect,EdgeOS-2.1/9F:3C:97:BC:71:70
EVT-0000096,USER_021,human_user,2026-06-01 08:11:40.728420,10.6.223.223,Chennai,/internal-api,sso,True,39.56,cat|wget|ps_aux|ps_aux|wget,DEV_814
EVT-0000097,SVC_060,service_account,2026-06-01 08:12:59.024801,10.18.165.173,Hyderabad,/telemetry,api_key,True,2.7,scp|scp|scp|cd|scp|scp,DEV_160
EVT-0000098,USER_017,human_user,2026-06-01 08:13:49.791300,10.4.199.219,Chennai,/email,sso,True,45.13,git_pull|ps_aux|curl|ps_aux|query_db|git_pull,DEV_458
EVT-0000099,USER_044,human_user,2026-06-01 08:14:21.969495,10.5.4.5,Chennai,/sensor-data,password,True,36.58,cd|sudo_su,DEV_242
EVT-0000100,USER_003,human_user,2026-06-01 08:16:11.495916,10.14.210.105,Mumbai,/admin-console,password,True,32.31,query_db|ssh|export_csv|whoami|export_csv,DEV_801
EVT-0000101,USER_007,human_user,2026-06-01 08:17:04.016542,10.34.214.91,Mumbai,/internal-api,token,True,23.6,curl|scp|ps_aux,DEV_151
EVT-0000102,USER_023,human_user,2026-06-01 08:17:28.409297,10.38.191.44,Singapore,/telemetry,mfa_push,True,38.32,cd|cat|whoami|scp,DEV_269
EVT-0000103,EDGE_065,edge_device,2026-06-01 08:19:07.199644,192.168.197.136,Pune,/telemetry,certificate,True,0.67,rdp_connect|rdp_connect|curl|rdp_connect|curl,EdgeOS-2.1/9F:3C:97:BC:71:70
EVT-0000104,SVC_057,service_account,2026-06-01 08:20:41.768567,10.22.244.166,Mumbai,/hr-portal,api_key,True,3.95,query_db|whoami|cat|cat|query_db|whoami,DEV_891
EVT-0000105,USER_006,human_user,2026-06-01 08:21:12.590523,10.36.147.120,Singapore,/internal-api,mfa_otp,True,19.27,cd|ps_aux,DEV_785
EVT-0000106,USER_051,human_user,2026-06-01 08:21:22.885691,10.5.11.123,Singapore,/sensor-data,sso,True,27.44,export_csv|query_db|git_push|ps_aux|sudo_su,DEV_945
EVT-0000107,EDGE_064,edge_device,2026-06-01 08:23:07.880732,192.168.122.216,Bengaluru,/firmware-update,certificate,True,0.5,grep|query_db|query_db|grep|grep,SecureRTOS-3.4/A5:7F:03:85:C4:78
EVT-0000108,SVC_061,service_account,2026-06-01 08:25:13.829614,10.25.201.53,Chennai,/sensor-data,api_key,True,3.68,ls|cd|cd|ls|ls|git_push,DEV_607
EVT-0000109,USER_041,human_user,2026-06-01 08:25:24.612843,10.33.23.251,Bengaluru,/wiki,mfa_push,True,45.14,export_csv|zip_archive|zip_archive,DEV_436
EVT-0000110,USER_045,human_user,2026-06-01 08:26:11.132438,10.5.134.32,Mumbai,/email,sso,True,34.59,whoami|wget|grep|wget|wget|wget,DEV_346
EVT-0000111,USER_014,human_user,2026-06-01 08:28:37.748487,10.40.147.19,Mumbai,/internal-api,password,True,20.22,netstat|netstat|wget,DEV_566
EVT-0000112,USER_007,human_user,2026-06-01 08:29:33.915674,10.34.214.68,Mumbai,/internal-api,mfa_otp,True,25.54,ps_aux|scp|ps_aux,DEV_151
EVT-0000113,USER_003,human_user,2026-06-01 08:30:22.083726,10.14.210.206,Mumbai,/hr-portal,password,True,45.67,ssh|git_pull|grep|git_pull|whoami|git_pull,DEV_432
EVT-0000114,SVC_058,service_account,2026-06-01 08:31:38.805479,10.34.69.12,Singapore,/wiki,api_key,True,3.1,wget|cd|rdp_connect|rdp_connect,DEV_675
EVT-0000115,USER_011,human_user,2026-06-01 08:31:43.692377,10.26.205.153,Singapore,/internal-api,mfa_push,True,20.1,curl|netstat|whoami|whoami|ssh|netstat,DEV_522
EVT-0000116,USER_035,human_user,2026-06-01 08:33:10.917891,10.30.57.228,Singapore,/sensor-data,mfa_otp,True,18.24,ssh|scp|git_pull|git_pull|scp|ls,DEV_206
EVT-0000117,USER_014,human_user,2026-06-01 08:33:53.638986,10.40.147.121,Mumbai,/wiki,mfa_otp,True,14.25,netstat|ps_aux,DEV_566
EVT-0000118,EDGE_069,edge_device,2026-06-01 08:36:22.087373,192.168.193.148,Chennai,/firmware-update,certificate,True,0.61,cd|cd|netstat|cd,EdgeOS-2.1/0B:98:ED:D9:C2:75
EVT-0000119,USER_019,human_user,2026-06-01 08:41:56.514462,10.11.124.54,Mumbai,/admin-console,sso,True,31.72,netstat|netstat|git_pull|wget|wget|netstat,DEV_724
EVT-0000120,USER_045,human_user,2026-06-01 08:42:06.726641,10.5.134.6,Mumbai,/email,sso,False,34.9,whoami|wget|wget|grep|wget,DEV_684
EVT-0000121,USER_002,human_user,2026-06-01 08:42:37.366359,10.24.20.129,Hyderabad,/sensor-data,password,True,27.6,sudo_su|query_db|ps_aux|sudo_su|ps_aux,DEV_926
EVT-0000122,USER_007,human_user,2026-06-01 08:44:37.586617,10.34.214.14,Mumbai,/internal-api,mfa_otp,True,21.35,scp|ps_aux,DEV_151
EVT-0000123,USER_034,human_user,2026-06-01 08:45:16.943358,10.29.102.226,Singapore,/sensor-data,mfa_push,True,43.57,cd|cat,DEV_540
EVT-0000124,USER_025,human_user,2026-06-01 08:45:56.823873,10.35.3.140,Hyderabad,/finance-db,mfa_push,True,43.91,git_pull|wget|zip_archive|query_db,DEV_224
EVT-0000125,EDGE_066,edge_device,2026-06-01 08:46:05.863619,192.168.20.65,Singapore,/firmware-update,certificate,True,0.84,cat|export_csv|cat,EdgeOS-2.1/E4:B9:27:39:1F:67
EVT-0000126,USER_011,human_user,2026-06-01 08:50:58.613112,10.26.205.216,Singapore,/internal-api,mfa_push,False,31.26,query_db|curl|ssh|netstat|curl,DEV_522
EVT-0000127,USER_041,human_user,2026-06-01 08:51:19.046664,10.33.23.78,Bengaluru,/telemetry,certificate,True,39.29,export_csv|wget|cd|cd|wget|export_csv,DEV_758
EVT-0000128,USER_030,human_user,2026-06-01 08:51:19.759014,10.4.36.209,Singapore,/hr-portal,mfa_otp,True,37.96,sudo_su|whoami|sudo_su|cd|whoami,DEV_864
EVT-0000129,EDGE_069,edge_device,2026-06-01 08:51:19.791180,192.168.193.69,Chennai,/sensor-data,certificate,True,0.5,cd|cd|netstat,EdgeOS-2.1/0B:98:ED:D9:C2:75
EVT-0000130,USER_011,human_user,2026-06-01 08:51:46.193373,10.26.205.110,Singapore,/wiki,mfa_push,True,21.38,curl|curl,DEV_522
EVT-0000131,EDGE_066,edge_device,2026-06-01 08:52:29.240705,192.168.20.243,Singapore,/sensor-data,certificate,True,0.8,export_csv|export_csv,EdgeOS-2.1/E4:B9:27:39:1F:67
EVT-0000132,USER_044,human_user,2026-06-01 08:52:48.881593,10.5.4.166,Chennai,/email,password,True,43.84,sudo_su|wget,DEV_242
EVT-0000133,USER_012,human_user,2026-06-01 08:54:13.496849,10.6.152.204,Chennai,/sensor-data,mfa_push,True,28.42,curl|zip_archive,DEV_282
EVT-0000134,USER_044,human_user,2026-06-01 08:54:44.745976,10.5.4.77,Chennai,/sensor-data,password,True,38.06,wget|wget|cd|cd|wget,DEV_812
EVT-0000135,USER_013,human_user,2026-06-01 08:55:38.532007,10.25.140.70,Delhi,/customer-data,mfa_push,True,29.43,sudo_su|scp|scp|zip_archive|scp,DEV_780
EVT-0000136,USER_031,human_user,2026-06-01 08:56:36.062445,10.8.99.15,Chennai,/wiki,sso,True,45.77,query_db|grep|curl|whoami|curl,DEV_604
EVT-0000137,EDGE_064,edge_device,2026-06-01 08:58:01.280282,192.168.122.45,Bengaluru,/sensor-data,certificate,True,0.5,grep|grep|grep|query_db,SecureRTOS-3.4/A5:7F:03:85:C4:78
EVT-0000138,USER_045,human_user,2026-06-01 08:58:10.057914,10.5.134.78,Mumbai,/sensor-data,sso,True,43.61,whoami|grep|ps_aux|wget|wget|whoami,DEV_346
EVT-0000139,USER_019,human_user,2026-06-01 08:58:50.188602,10.11.124.237,Mumbai,/admin-console,sso,True,29.86,zip_archive|git_pull,DEV_683
EVT-0000140,USER_052,human_user,2026-06-01 09:01:32.257588,10.7.68.233,Mumbai,/github,mfa_otp,True,52.96,zip_archive|scp|query_db,DEV_675
EVT-0000141,USER_011,human_user,2026-06-01 09:02:40.129960,10.26.205.86,Singapore,/internal-api,certificate,True,31.22,query_db|netstat|curl|netstat|netstat,DEV_125
EVT-0000142,USER_023,human_user,2026-06-01 09:02:58.690668,10.38.191.80,Singapore,/telemetry,password,True,45.33,whoami|query_db|curl|whoami|query_db,DEV_269
EVT-0000143,USER_031,human_user,2026-06-01 09:03:08.073071,10.8.99.137,Chennai,/telemetry,sso,True,39.49,query_db|cd,DEV_218
EVT-0000144,USER_014,human_user,2026-06-01 09:04:05.589089,10.40.147.18,Mumbai,/source-control-prod,mfa_otp,True,16.57,netstat|netstat|wget|scp,DEV_566
EVT-0000145,USER_045,human_user,2026-06-01 09:04:21.002164,10.5.134.200,Mumbai,/email,sso,True,51.47,ps_aux|whoami,DEV_684
EVT-0000146,USER_022,human_user,2026-06-01 09:05:12.878151,10.13.160.70,Singapore,/wiki,sso,True,32.16,whoami|git_push,DEV_682
EVT-0000147,USER_015,human_user,2026-06-01 09:05:58.939494,10.16.192.122,Singapore,/telemetry,mfa_otp,True,23.51,sudo_su|export_csv,DEV_556
EVT-0000148,USER_004,human_user,2026-06-01 09:07:10.742412,10.34.192.67,Chennai,/hr-portal,password,True,27.11,scp|ssh|ssh,DEV_641
EVT-0000149,USER_022,human_user,2026-06-01 09:07:28.489486,10.13.160.7,Singapore,/wiki,sso,True,40.32,ssh|ssh|git_push,DEV_682
EVT-0000150,USER_027,human_user,2026-06-01 09:08:30.553033,10.39.177.74,Chennai,/sensor-data,password,True,9.0,sudo_su|ssh,DEV_176
EVT-0000151,SVC_062,service_account,2026-06-01 09:08:51.777155,10.18.116.91,Hyderabad,/source-control-prod,api_key,True,3.89,scp|grep|scp|grep,DEV_756
EVT-0000152,USER_013,human_user,2026-06-01 09:09:16.247802,10.25.140.104,Delhi,/sensor-data,mfa_push,True,25.4,export_csv|export_csv,DEV_793
EVT-0000153,USER_034,human_user,2026-06-01 09:09:44.744892,10.29.102.39,Singapore,/github,mfa_push,True,39.72,cd|cat,DEV_540
EVT-0000154,USER_040,human_user,2026-06-01 09:10:13.708145,10.15.181.160,Mumbai,/backup-vault,sso,True,32.06,cat|grep|curl|cat|curl,DEV_186
EVT-0000155,USER_050,human_user,2026-06-01 09:10:14.942558,10.3.212.124,Pune,/wiki,sso,True,18.84,zip_archive|grep|git_push|grep,DEV_886
EVT-0000156,SVC_063,service_account,2026-06-01 09:10:36.303047,10.21.202.227,Chennai,/github,api_key,True,1.4,sudo_su|sudo_su|sudo_su|netstat|sudo_su,DEV_402
