event_id,entity_id,entity_type,timestamp,predicted_attack_type,attack_confidence,sequence_reconstruction_error,sequence_anomaly_component,behavior_deviation_component,attack_confidence_component,device_novelty_component,historical_context_component,risk_score,has_sequence_context,hybrid_anomaly_score,risk_level
EVT-0000025,USER_003,human_user,2026-06-01 05:23:15.300299,normal,0.008131027,,0.0,22.88,0.16,10.5,5.0,38.54,False,0.5668981265382635,MEDIUM
EVT-0000026,SVC_063,service_account,2026-06-01 05:25:38.664097,normal,8.46386e-06,,0.0,8.83,0.0,4.5,4.75,18.08,False,0.19650825247154602,LOW
EVT-0000027,SVC_059,service_account,2026-06-01 05:25:44.820131,normal,1.5377998e-05,,0.0,6.55,0.0,4.5,4.25,15.3,False,0.14613178805434368,LOW
EVT-0000028,EDGE_067,edge_device,2026-06-01 05:26:01.753204,normal,9.536743e-06,,0.0,8.47,0.0,4.5,4.5,17.47,False,0.18809441066933108,LOW
EVT-0000029,SVC_060,service_account,2026-06-01 05:40:34.556143,normal,8.46386e-06,,0.0,8.03,0.0,4.5,4.5,17.03,False,0.17937075562660018,LOW
EVT-0000030,USER_017,human_user,2026-06-01 05:46:43.660739,normal,0.00020867586,,0.0,14.81,0.0,4.5,4.5,23.81,False,0.2812653669702781,LOW
EVT-0000031,SVC_061,service_account,2026-06-01 05:48:01.145016,normal,1.180172e-05,,0.0,7.73,0.0,4.5,4.75,16.98,False,0.17159429807053517,LOW
EVT-0000032,EDGE_068,edge_device,2026-06-01 05:56:43.536276,normal,1.0967255e-05,,0.0,8.53,0.0,4.5,4.5,17.53,False,0.18888635060668305,LOW
EVT-0000033,EDGE_066,edge_device,2026-06-01 06:00:17.292719,normal,1.5616417e-05,,0.0,8.9,0.0,4.5,4.5,17.9,False,0.19855674024219877,LOW
EVT-0000034,USER_003,human_user,2026-06-01 06:01:59.555865,normal,0.00074356794,,0.0,15.95,0.01,4.5,4.75,25.21,False,0.2993939393939393,LOW
EVT-0000035,USER_008,human_user,2026-06-01 06:02:07.750359,normal,5.877018e-05,,0.0,8.01,0.0,4.5,4.75,17.26,False,0.18665387745800038,LOW
EVT-0000036,USER_014,human_user,2026-06-01 06:06:42.142057,normal,0.013695419,,0.0,20.24,0.27,10.5,5.0,36.01,False,0.5261509817470513,MEDIUM
EVT-0000037,USER_023,human_user,2026-06-01 06:08:30.732182,normal,0.0030417442,,0.0,18.43,0.06,10.5,5.0,33.99,False,0.4987531232287311,MEDIUM
EVT-0000038,USER_002,human_user,2026-06-01 06:09:55.037226,normal,0.0029218197,,0.0,18.37,0.06,10.5,5.0,33.93,False,0.4959875223079399,MEDIUM
EVT-0000039,USER_036,human_user,2026-06-01 06:10:43.041004,normal,3.33786e-05,,0.0,8.07,0.0,4.5,4.5,17.07,False,0.17412819979091015,LOW
EVT-0000040,USER_008,human_user,2026-06-01 06:20:04.638613,normal,3.3140182e-05,,0.0,10.42,0.0,4.5,4.5,19.42,False,0.21317377472323912,LOW
EVT-0000041,USER_021,human_user,2026-06-01 06:22:10.150554,normal,0.024511635,,0.0,21.49,0.49,10.5,5.0,37.48,False,0.5508402983650975,MEDIUM
EVT-0000042,EDGE_069,edge_device,2026-06-01 06:22:52.330091,normal,0.009129703,,0.0,17.27,0.18,10.5,5.0,32.95,False,0.4775326039200023,MEDIUM
EVT-0000043,USER_007,human_user,2026-06-01 06:24:28.999855,normal,0.004722357,,0.0,15.11,0.09,10.5,5.0,30.7,False,0.445676121034167,MEDIUM
EVT-0000044,USER_028,human_user,2026-06-01 06:27:12.152324,normal,0.04423088,,0.0,20.18,0.88,10.5,5.0,36.56,False,0.5325374380747852,MEDIUM
EVT-0000045,USER_035,human_user,2026-06-01 06:28:30.278167,normal,0.00013899803,,0.0,9.74,0.0,15.0,4.75,29.49,False,0.2869026386394061,LOW
EVT-0000046,USER_022,human_user,2026-06-01 06:29:42.980958,normal,0.0030616522,,0.0,18.29,0.06,10.5,5.0,33.85,False,0.4968300902199999,MEDIUM
EVT-0000047,USER_050,human_user,2026-06-01 06:31:14.005693,normal,0.0047222376,,0.0,15.7,0.09,10.5,5.0,31.29,False,0.4588810175227144,MEDIUM
EVT-0000048,EDGE_066,edge_device,2026-06-01 06:31:48.505845,normal,3.552437e-05,,0.0,8.21,0.0,4.5,4.25,16.96,False,0.1748299854924511,LOW
EVT-0000049,EDGE_065,edge_device,2026-06-01 06:33:32.440783,normal,9.298325e-06,,0.0,9.62,0.0,4.5,4.5,18.62,False,0.20861702365475626,LOW
EVT-0000050,USER_038,human_user,2026-06-01 06:38:08.358125,normal,0.004347205,,0.0,19.85,0.09,10.5,5.0,35.44,False,0.514348463469657,MEDIUM
EVT-0000051,USER_021,human_user,2026-06-01 06:39:15.294837,normal,0.00076556206,,0.0,13.38,0.02,4.5,4.75,22.65,False,0.2659227518932174,LOW
EVT-0000052,USER_032,human_user,2026-06-01 06:42:20.113261,normal,0.006157279,,0.0,16.53,0.12,10.5,5.0,32.15,False,0.47971677796630974,MEDIUM
EVT-0000053,USER_028,human_user,2026-06-01 06:55:16.654670,normal,0.00052028894,,0.0,10.33,0.01,15.0,4.75,30.09,False,0.30057636923389075,MEDIUM
EVT-0000054,USER_028,human_user,2026-06-01 06:56:15.390741,normal,0.00019091368,,0.0,10.3,0.0,4.5,4.5,19.3,False,0.2220014149078236,LOW
EVT-0000055,USER_013,human_user,2026-06-01 07:00:31.606282,normal,0.02354157,,0.0,17.23,0.47,10.5,5.0,33.2,False,0.48353827459661314,MEDIUM
EVT-0000056,USER_037,human_user,2026-06-01 07:00:42.466867,normal,0.0036048293,,0.0,18.12,0.07,10.5,5.0,33.69,False,0.49158908938450796,MEDIUM
EVT-0000057,USER_023,human_user,2026-06-01 07:00:47.588765,normal,6.341934e-05,,0.0,11.33,0.0,4.5,4.75,20.58,False,0.22917866685964852,LOW
EVT-0000058,USER_035,human_user,2026-06-01 07:02:27.445895,normal,0.00034606457,,0.0,8.29,0.01,4.5,4.5,17.3,False,0.19409440526274424,LOW
EVT-0000059,USER_028,human_user,2026-06-01 07:02:51.016298,normal,0.00032055378,,0.0,10.45,0.01,4.5,4.25,19.21,False,0.22492022328161898,LOW
EVT-0000060,USER_015,human_user,2026-06-01 07:03:13.890194,normal,0.07414353,,0.0,18.03,1.48,10.5,5.0,35.01,False,0.5023564768892979,MEDIUM
EVT-0000061,USER_029,human_user,2026-06-01 07:07:32.329025,normal,0.06979078,,0.0,18.25,1.4,10.5,5.0,35.15,False,0.4872397401187215,MEDIUM
EVT-0000062,USER_007,human_user,2026-06-01 07:10:10.695623,normal,3.1232834e-05,,0.0,8.09,0.0,4.5,4.75,17.34,False,0.18758195318732257,LOW
EVT-0000063,USER_043,human_user,2026-06-01 07:11:04.873552,normal,0.0078449845,,0.0,22.19,0.16,10.5,5.0,37.85,False,0.5581922943755596,MEDIUM
EVT-0000064,USER_023,human_user,2026-06-01 07:13:31.748984,normal,3.1232834e-05,,0.0,7.49,0.0,4.5,4.5,16.49,False,0.17115326023080996,LOW
EVT-0000065,USER_018,human_user,2026-06-01 07:13:40.224913,normal,0.0075021386,,0.0,16.34,0.15,10.5,5.0,31.99,False,0.46724790598398575,MEDIUM
EVT-0000066,USER_034,human_user,2026-06-01 07:18:17.395216,device_spoofing,0.9961789,,0.0,19.44,19.92,10.5,5.0,54.86,False,0.5153663446149452,MEDIUM
EVT-0000067,USER_015,human_user,2026-06-01 07:20:19.545118,normal,0.00033986568,,0.0,9.33,0.01,15.0,4.75,29.09,False,0.2889488033184524,LOW
EVT-0000068,USER_002,human_user,2026-06-01 07:21:40.859550,normal,0.00011909008,,0.0,8.77,0.0,15.0,4.75,28.52,False,0.27722671108464186,LOW
EVT-0000069,USER_031,human_user,2026-06-01 07:23:26.172147,normal,0.0048475266,,0.0,20.92,0.1,10.5,5.0,36.52,False,0.5325130915353449,MEDIUM
EVT-0000070,USER_051,human_user,2026-06-01 07:23:35.173952,normal,0.011075795,,0.0,16.88,0.22,10.5,5.0,32.6,False,0.47214640907011396,MEDIUM
EVT-0000071,USER_009,human_user,2026-06-01 07:30:29.852327,normal,0.11138749,,0.0,20.15,2.23,10.5,5.0,37.88,False,0.5201908155311834,MEDIUM
EVT-0000072,USER_028,human_user,2026-06-01 07:31:34.152315,normal,2.7775764e-05,,0.0,9.84,0.0,4.5,4.0,18.34,False,0.20613223055260965,LOW
EVT-0000073,USER_055,human_user,2026-06-01 07:32:56.919805,normal,0.0034691691,,0.0,16.69,0.07,10.5,5.0,32.26,False,0.46854892746611,MEDIUM
EVT-0000074,USER_014,human_user,2026-06-01 07:34:24.547870,normal,8.34465e-06,,0.0,8.82,0.0,4.5,4.75,18.07,False,0.18858662116567693,LOW
EVT-0000075,SVC_060,service_account,2026-06-01 07:36:30.762098,normal,1.4781952e-05,,0.0,8.28,0.0,4.5,4.25,17.03,False,0.17332865957962534,LOW
EVT-0000076,USER_023,human_user,2026-06-01 07:37:55.459655,normal,5.7578087e-05,,0.0,7.79,0.0,4.5,4.25,16.54,False,0.1759775263310427,LOW
EVT-0000077,SVC_056,service_account,2026-06-01 07:38:30.733259,normal,9.417534e-06,,0.0,9.59,0.0,4.5,4.5,18.59,False,0.20157621170064516,LOW
EVT-0000078,USER_035,human_user,2026-06-01 07:38:36.083656,normal,1.5258789e-05,,0.0,9.24,0.0,4.5,4.25,17.99,False,0.19907637125488728,LOW
EVT-0000079,USER_022,human_user,2026-06-01 07:40:06.321217,normal,1.5258789e-05,,0.0,7.27,0.0,4.5,4.75,16.52,False,0.16451305590805093,LOW
EVT-0000080,USER_036,human_user,2026-06-01 07:40:54.602783,normal,0.0013102889,,0.0,9.18,0.03,15.0,4.25,28.46,False,0.2725731859962237,LOW
EVT-0000081,USER_039,human_user,2026-06-01 07:41:38.663123,normal,0.017315567,,0.0,17.93,0.35,10.5,5.0,33.78,False,0.4860678449556999,MEDIUM
EVT-0000082,USER_028,human_user,2026-06-01 07:42:56.275744,normal,0.0010146499,,0.0,8.48,0.02,4.5,3.75,16.75,False,0.20086727679909044,LOW
EVT-0000083,USER_018,human_user,2026-06-01 07:43:13.609923,normal,9.10759e-05,,0.0,7.5,0.0,4.5,4.75,16.75,False,0.17458716030823243,LOW
EVT-0000084,USER_029,human_user,2026-06-01 07:46:29.835819,normal,0.0043652654,,0.0,9.67,0.09,15.0,4.75,29.51,False,0.2814956016941278,LOW
EVT-0000085,USER_014,human_user,2026-06-01 07:47:04.915708,normal,0.00047266483,,0.0,9.99,0.01,4.5,4.5,19.0,False,0.2204645845009775,LOW
EVT-0000086,SVC_057,service_account,2026-06-01 07:50:35.060380,normal,0.018146038,,0.0,18.31,0.36,10.5,5.0,34.17,False,0.49648470213492346,MEDIUM
EVT-0000087,USER_029,human_user,2026-06-01 07:50:51.618347,normal,4.2557716e-05,,0.0,7.86,0.0,4.5,4.5,16.86,False,0.1797874420094584,LOW
EVT-0000088,SVC_061,service_account,2026-06-01 07:51:18.419804,normal,1.513958e-05,,0.0,9.27,0.0,4.5,4.5,18.27,False,0.19352927395049224,LOW
EVT-0000089,USER_007,human_user,2026-06-01 07:53:45.982686,normal,1.1444092e-05,,0.0,10.3,0.0,4.5,4.5,19.3,False,0.2151572423313544,LOW
EVT-0000090,USER_030,human_user,2026-06-01 07:54:39.871228,normal,0.007876337,,0.0,20.97,0.16,10.5,5.0,36.63,False,0.5376989854251406,MEDIUM
EVT-0000091,USER_021,human_user,2026-06-01 07:57:44.719701,normal,9.775162e-06,,0.0,10.46,0.0,4.5,4.5,19.46,False,0.21908287728650466,LOW
EVT-0000092,SVC_063,service_account,2026-06-01 08:00:06.822670,normal,1.04904175e-05,,0.0,9.68,0.0,4.5,4.5,18.68,False,0.20314548402869198,LOW
EVT-0000093,SVC_061,service_account,2026-06-01 08:03:52.476281,normal,5.9366226e-05,,0.0,8.68,0.0,4.5,4.25,17.43,False,0.1807892856829411,LOW
EVT-0000094,USER_053,human_user,2026-06-01 08:04:45.431026,normal,0.0036528707,,0.0,16.84,0.07,10.5,5.0,32.41,False,0.47449845628952436,MEDIUM
EVT-0000095,EDGE_065,edge_device,2026-06-01 08:06:12.962390,normal,1.001358e-05,,0.0,9.63,0.0,4.5,4.25,18.38,False,0.20038228146713516,LOW
EVT-0000096,USER_021,human_user,2026-06-01 08:11:40.728420,normal,0.00038087368,,0.0,10.6,0.01,15.0,4.25,29.86,False,0.31268206740496496,LOW
EVT-0000097,SVC_060,service_account,2026-06-01 08:12:59.024801,normal,2.9206276e-05,,0.0,8.01,0.0,3.37,4.0,15.38,False,0.16560999958965125,LOW
EVT-0000098,USER_017,human_user,2026-06-01 08:13:49.791300,normal,4.172325e-06,,0.0,10.71,0.0,4.5,4.25,19.46,False,0.21869184089473148,LOW
EVT-0000099,USER_044,human_user,2026-06-01 08:14:21.969495,normal,0.006123841,,0.0,18.05,0.12,10.5,5.0,33.67,False,0.4973064114806695,MEDIUM
EVT-0000100,USER_003,human_user,2026-06-01 08:16:11.495916,normal,0.009042144,,0.0,8.9,0.18,4.5,4.5,18.08,False,0.20790029546350308,LOW
EVT-0000101,USER_007,human_user,2026-06-01 08:17:04.016542,normal,0.00024539232,,0.0,8.68,0.0,4.5,4.25,17.43,False,0.2014960706580946,LOW
EVT-0000102,USER_023,human_user,2026-06-01 08:17:28.409297,normal,5.2452087e-06,,0.0,8.74,0.0,3.37,4.0,16.11,False,0.18613441016077945,LOW
EVT-0000103,EDGE_065,edge_device,2026-06-01 08:19:07.199644,normal,5.9843063e-05,,0.0,9.26,0.0,3.37,4.0,16.63,False,0.1908700171931334,LOW
EVT-0000104,SVC_057,service_account,2026-06-01 08:20:41.768567,normal,4.36306e-05,,0.0,9.6,0.0,4.5,4.75,18.85,False,0.20512736928530695,LOW
EVT-0000105,USER_006,human_user,2026-06-01 08:21:12.590523,normal,0.011678517,,0.0,18.17,0.23,10.5,5.0,33.9,False,0.49935605037128716,MEDIUM
EVT-0000106,USER_051,human_user,2026-06-01 08:21:22.885691,normal,0.00024300814,,0.0,7.81,0.0,4.5,4.75,17.06,False,0.18679816695503554,LOW
EVT-0000107,EDGE_064,edge_device,2026-06-01 08:23:07.880732,normal,0.038060486,,0.0,19.42,0.76,10.5,5.0,35.68,False,0.5180052668739095,MEDIUM
EVT-0000108,SVC_061,service_account,2026-06-01 08:25:13.829614,normal,5.5789948e-05,,0.0,8.03,0.0,3.37,4.0,15.4,False,0.1678052122250068,LOW
EVT-0000109,USER_041,human_user,2026-06-01 08:25:24.612843,normal,0.0037599802,,0.0,19.09,0.08,10.5,5.0,34.67,False,0.5026194264094067,MEDIUM
EVT-0000110,USER_045,human_user,2026-06-01 08:26:11.132438,normal,0.0031811,,0.0,16.89,0.06,10.5,5.0,32.45,False,0.4743234251172922,MEDIUM
EVT-0000111,USER_014,human_user,2026-06-01 08:28:37.748487,normal,0.00014293194,,0.0,9.64,0.0,4.5,4.25,18.39,False,0.21321575356561207,LOW
EVT-0000112,USER_007,human_user,2026-06-01 08:29:33.915674,normal,2.503395e-05,,0.0,7.54,0.0,3.37,4.0,14.91,False,0.17914557853715332,LOW
EVT-0000113,USER_003,human_user,2026-06-01 08:30:22.083726,normal,0.0014333129,,0.0,10.62,0.03,15.0,4.25,29.9,False,0.30134722539355563,LOW
EVT-0000114,SVC_058,service_account,2026-06-01 08:31:38.805479,normal,0.016136765,,0.0,18.45,0.32,10.5,5.0,34.27,False,0.49874342461185267,MEDIUM
EVT-0000115,USER_011,human_user,2026-06-01 08:31:43.692377,normal,0.014020145,,0.0,17.78,0.28,10.5,5.0,33.56,False,0.49091300227162193,MEDIUM
EVT-0000116,USER_035,human_user,2026-06-01 08:33:10.917891,normal,0.013885915,,0.0,17.65,0.28,4.5,9.0,31.43,False,0.40420370572545006,MEDIUM
EVT-0000117,USER_014,human_user,2026-06-01 08:33:53.638986,normal,4.4107437e-05,,0.0,9.61,0.0,3.37,4.0,16.98,False,0.19800663807458582,LOW
EVT-0000118,EDGE_069,edge_device,2026-06-01 08:36:22.087373,normal,9.703636e-05,,0.0,11.11,0.0,4.5,4.75,20.36,False,0.23484149923939063,LOW
EVT-0000119,USER_019,human_user,2026-06-01 08:41:56.514462,normal,0.033114254,,0.0,17.4,0.66,10.5,5.0,33.56,False,0.49253263076410353,MEDIUM
EVT-0000120,USER_045,human_user,2026-06-01 08:42:06.726641,normal,0.00036370754,,0.0,8.36,0.01,15.0,4.75,28.12,False,0.2682583988054411,LOW
EVT-0000121,USER_002,human_user,2026-06-01 08:42:37.366359,normal,0.00015354156,,0.0,7.88,0.0,4.5,4.5,16.88,False,0.18694762971523216,LOW
EVT-0000122,USER_007,human_user,2026-06-01 08:44:37.586617,normal,2.1576881e-05,,0.0,8.13,0.0,2.7,3.75,14.58,False,0.18246587976502018,LOW
EVT-0000123,USER_034,human_user,2026-06-01 08:45:16.943358,normal,0.00088602304,,0.0,11.54,0.02,15.0,4.75,31.31,False,0.3203721902199387,MEDIUM
EVT-0000124,USER_025,human_user,2026-06-01 08:45:56.823873,normal,0.088722944,,0.0,20.31,1.77,10.5,5.0,37.58,False,0.5343895164507159,MEDIUM
EVT-0000125,EDGE_066,edge_device,2026-06-01 08:46:05.863619,normal,0.0001231432,,0.0,10.76,0.0,3.37,4.0,18.13,False,0.22608367538237206,LOW
EVT-0000126,USER_011,human_user,2026-06-01 08:50:58.613112,normal,2.3841858e-05,,0.0,7.83,0.0,4.5,4.75,17.08,False,0.18015853912393504,LOW
EVT-0000127,USER_041,human_user,2026-06-01 08:51:19.046664,normal,0.000344038,,0.0,9.64,0.01,15.0,4.75,29.4,False,0.29015164077695,LOW
EVT-0000128,USER_030,human_user,2026-06-01 08:51:19.759014,normal,0.00014424324,,0.0,9.35,0.0,15.0,4.75,29.1,False,0.28722521530781986,LOW
EVT-0000129,EDGE_069,edge_device,2026-06-01 08:51:19.791180,normal,2.8133392e-05,,0.0,9.95,0.0,4.5,4.5,18.95,False,0.20561939714148092,LOW
EVT-0000130,USER_011,human_user,2026-06-01 08:51:46.193373,normal,0.000413239,,0.0,8.84,0.01,4.5,4.5,17.85,False,0.19475720923608844,LOW
EVT-0000131,EDGE_066,edge_device,2026-06-01 08:52:29.240705,normal,5.1021576e-05,,0.0,9.22,0.0,2.7,3.75,15.67,False,0.1889104317139979,LOW
EVT-0000132,USER_044,human_user,2026-06-01 08:52:48.881593,normal,1.3828278e-05,,0.0,10.89,0.0,4.5,4.75,20.14,False,0.22476483539067643,LOW
EVT-0000133,USER_012,human_user,2026-06-01 08:54:13.496849,normal,0.005922079,,0.0,15.9,0.12,10.5,5.0,31.52,False,0.4639575739563129,MEDIUM
EVT-0000134,USER_044,human_user,2026-06-01 08:54:44.745976,normal,0.00043779612,,0.0,9.12,0.01,15.0,4.5,28.63,False,0.2816020757333212,LOW
EVT-0000135,USER_013,human_user,2026-06-01 08:55:38.532007,normal,0.0010181069,,0.0,8.36,0.02,15.0,4.75,28.13,False,0.28188988049510205,LOW
EVT-0000136,USER_031,human_user,2026-06-01 08:56:36.062445,normal,1.1563301e-05,,0.0,10.93,0.0,4.5,4.75,20.18,False,0.22316516605560682,LOW
EVT-0000137,EDGE_064,edge_device,2026-06-01 08:58:01.280282,normal,1.7762184e-05,,0.0,10.19,0.0,4.5,4.75,19.44,False,0.2108232409384994,LOW
EVT-0000138,USER_045,human_user,2026-06-01 08:58:10.057914,normal,2.2649765e-05,,0.0,11.08,0.0,4.5,4.5,20.08,False,0.22935116417257861,LOW
EVT-0000139,USER_019,human_user,2026-06-01 08:58:50.188602,normal,0.0030905604,,0.0,7.86,0.06,15.0,4.75,27.67,False,0.27083088560532476,LOW
EVT-0000140,USER_052,human_user,2026-06-01 09:01:32.257588,normal,0.007514119,,0.0,21.74,0.15,10.5,5.0,37.39,False,0.5489324823213091,MEDIUM
EVT-0000141,USER_011,human_user,2026-06-01 09:02:40.129960,normal,0.0017849207,,0.0,7.38,0.04,15.0,4.25,26.67,False,0.25413114081079335,LOW
EVT-0000142,USER_023,human_user,2026-06-01 09:02:58.690668,normal,1.13248825e-05,,0.0,10.25,0.0,2.7,3.75,16.7,False,0.20576312487212592,LOW
EVT-0000143,USER_031,human_user,2026-06-01 09:03:08.073071,normal,0.0005261302,,0.0,8.79,0.01,15.0,4.5,28.3,False,0.2746805187430868,LOW
EVT-0000144,USER_014,human_user,2026-06-01 09:04:05.589089,normal,0.00052827597,,0.0,10.63,0.01,2.7,3.75,17.09,False,0.22598723574262033,LOW
EVT-0000145,USER_045,human_user,2026-06-01 09:04:21.002164,normal,4.2796135e-05,,0.0,11.89,0.0,4.5,4.25,20.64,False,0.2319991911595791,LOW
EVT-0000146,USER_022,human_user,2026-06-01 09:05:12.878151,normal,0.0011570454,,0.0,6.95,0.02,15.0,4.5,26.47,False,0.24355530862114974,LOW
EVT-0000147,USER_015,human_user,2026-06-01 09:05:58.939494,normal,9.536743e-06,,0.0,8.33,0.0,4.5,4.5,17.33,False,0.18454079159900638,LOW
EVT-0000148,USER_004,human_user,2026-06-01 09:07:10.742412,normal,0.006271124,,0.0,16.32,0.13,10.5,5.0,31.95,False,0.4685102195195812,MEDIUM
EVT-0000149,USER_022,human_user,2026-06-01 09:07:28.489486,normal,2.0980835e-05,,0.0,8.72,0.0,4.5,4.25,17.47,False,0.18106734081810713,LOW
EVT-0000150,USER_027,human_user,2026-06-01 09:08:30.553033,normal,0.10589093,,0.0,20.59,2.12,10.5,5.0,38.21,False,0.5286093412118126,MEDIUM
EVT-0000151,SVC_062,service_account,2026-06-01 09:08:51.777155,normal,0.00014543533,,0.0,11.05,0.0,4.5,4.75,20.3,False,0.2358610079404716,LOW
EVT-0000152,USER_013,human_user,2026-06-01 09:09:16.247802,normal,2.9206276e-05,,0.0,8.39,0.0,4.5,4.5,17.39,False,0.19139113928699242,LOW
EVT-0000153,USER_034,human_user,2026-06-01 09:09:44.744892,normal,2.2292137e-05,,0.0,9.72,0.0,4.5,4.5,18.72,False,0.2102376655481138,LOW
EVT-0000154,USER_040,human_user,2026-06-01 09:10:13.708145,normal,0.03271264,,0.0,17.12,0.65,10.5,5.0,33.27,False,0.4888814422342375,MEDIUM
EVT-0000155,USER_050,human_user,2026-06-01 09:10:14.942558,normal,0.07765651,,0.0,17.43,1.55,4.5,6.98,30.46,False,0.39318355360553736,MEDIUM
EVT-0000156,SVC_063,service_account,2026-06-01 09:10:36.303047,normal,7.1525574e-05,,0.0,9.91,0.0,4.5,4.25,18.66,False,0.2040579696050383,LOW
EVT-0000157,USER_033,human_user,2026-06-01 09:11:19.170427,normal,0.013818026,,0.0,17.62,0.28,10.5,5.0,33.4,False,0.48825233484442226,MEDIUM
EVT-0000158,USER_038,human_user,2026-06-01 09:13:52.917042,normal,8.952618e-05,,0.0,8.92,0.0,15.0,4.75,28.67,False,0.27721843635288596,LOW
EVT-0000159,USER_032,human_user,2026-06-01 09:14:05.290027,normal,2.0742416e-05,,0.0,10.56,0.0,4.5,4.75,19.81,False,0.2218435663678089,LOW
EVT-0000160,USER_030,human_user,2026-06-01 09:14:07.265465,normal,0.0006979704,,0.0,9.13,0.01,15.0,4.5,28.64,False,0.2809169963907501,LOW
EVT-0000161,USER_020,human_user,2026-06-01 09:16:45.754679,normal,0.13615978,,0.0,19.24,2.72,10.5,5.0,37.46,False,0.5103975635775924,MEDIUM
