entity_id,day,composite_score,ewma_score,consecutive_elevated_days,sustained_drift_detected,hour_component,device_component,resource_component,session_component
EDGE_066,2026-06-15,0.1558,0.1704,0,False,0.5143,0.0,0.078,0.1478
EDGE_066,2026-06-16,0.119,0.155,0,False,0.3839,0.0,0.0467,0.1412
EDGE_066,2026-06-17,0.1514,0.1539,0,False,0.4106,0.0,0.0509,0.2699
EDGE_066,2026-06-18,0.1237,0.1448,0,False,0.3324,0.0,0.0009,0.2848
EDGE_066,2026-06-19,0.1782,0.1548,0,False,0.3724,0.0,0.1552,0.2858
EDGE_066,2026-06-20,0.1661,0.1582,0,False,0.2125,0.0,0.2122,0.2997
EDGE_066,2026-06-21,0.1656,0.1604,0,False,0.0648,0.0,0.3001,0.3132
EDGE_066,2026-06-22,0.167,0.1624,0,False,0.0561,0.0,0.329,0.2853
EDGE_066,2026-06-23,0.167,0.1638,0,False,0.1154,0.0,0.2852,0.2918
EDGE_066,2026-06-24,0.1633,0.1636,0,False,0.3174,0.0,0.2433,0.134
EDGE_066,2026-06-25,0.1354,0.1552,0,False,0.299,0.0,0.1663,0.1286
EDGE_066,2026-06-26,0.1186,0.1442,0,False,0.4239,0.0,0.0251,0.1312
EDGE_066,2026-06-27,0.2013,0.1613,0,False,0.434,0.0,0.0218,0.5399
EDGE_066,2026-06-28,0.1974,0.1722,0,False,0.2766,0.0,0.1157,0.5369
EDGE_066,2026-06-29,0.2984,0.21,0,False,0.3343,0.0,0.105,1.0
EDGE_066,2026-06-30,0.2314,0.2164,0,False,0.0615,0.0,0.1056,0.9369
EDGE_067,2026-06-11,0.0663,0.0663,0,False,0.1966,0.0,0.0597,0.0454
EDGE_067,2026-06-12,0.1839,0.1016,0,False,0.6386,0.0,0.1308,0.0845
EDGE_067,2026-06-13,0.0813,0.0955,0,False,0.3033,0.0,0.0419,0.0403
EDGE_067,2026-06-14,0.1158,0.1016,0,False,0.293,0.0,0.1871,0.0054
EDGE_067,2026-06-15,0.1506,0.1163,0,False,0.4221,0.0,0.2163,0.0064
EDGE_067,2026-06-16,0.2383,0.1529,0,False,0.1502,0.5,0.1858,0.0124
EDGE_067,2026-06-17,0.2435,0.1801,0,False,0.122,0.5,0.2207,0.0147
EDGE_067,2026-06-18,0.2501,0.2011,0,False,0.174,0.5,0.2023,0.0229
EDGE_067,2026-06-19,0.306,0.2325,0,False,0.4156,0.5,0.2048,0.057
EDGE_067,2026-06-20,0.2914,0.2502,0,False,0.2612,0.5,0.2409,0.0846
EDGE_067,2026-06-21,0.2478,0.2495,0,False,0.1028,0.5,0.1954,0.0929
EDGE_067,2026-06-22,0.2622,0.2533,0,False,0.0421,0.5,0.2656,0.1208
EDGE_067,2026-06-23,0.2735,0.2594,0,False,0.0093,0.5,0.3246,0.1215
EDGE_067,2026-06-24,0.272,0.2632,0,False,0.1448,0.5,0.2336,0.115
EDGE_067,2026-06-25,0.3157,0.2789,0,False,0.2998,0.5,0.2808,0.1073
EDGE_067,2026-06-26,0.3063,0.2871,0,False,0.2409,0.5,0.2943,0.099
EDGE_067,2026-06-27,0.36,0.309,0,False,0.4847,0.5,0.3368,0.0601
EDGE_067,2026-06-28,0.3587,0.3239,0,False,0.5049,0.5,0.3358,0.0346
EDGE_067,2026-06-29,0.364,0.3359,0,False,0.5592,0.5,0.2811,0.0892
EDGE_067,2026-06-30,0.3153,0.3297,0,False,0.4288,0.5,0.2069,0.0872
EDGE_068,2026-06-11,0.1753,0.1753,0,False,0.7746,0.0,0.0349,0.0493
EDGE_068,2026-06-12,0.1691,0.1734,0,False,0.3416,0.0,0.2859,0.075
EDGE_068,2026-06-13,0.1748,0.1738,0,False,0.2721,0.0,0.3487,0.0788
EDGE_068,2026-06-14,0.1877,0.178,0,False,0.2607,0.0,0.3852,0.1003
EDGE_068,2026-06-15,0.1463,0.1685,0,False,0.2602,0.0,0.2599,0.0818
EDGE_068,2026-06-16,0.1299,0.1569,0,False,0.191,0.0,0.274,0.0474
EDGE_068,2026-06-17,0.0788,0.1335,0,False,0.0745,0.0,0.1791,0.0508
EDGE_068,2026-06-18,0.2737,0.1755,0,False,0.276,0.5,0.1878,0.0608
EDGE_068,2026-06-19,0.2245,0.1902,0,False,0.2828,0.5,0.034,0.0389
EDGE_068,2026-06-20,0.263,0.2121,0,False,0.3465,0.5,0.1273,0.0272
EDGE_068,2026-06-21,0.3205,0.2446,0,False,0.4462,0.5,0.2605,0.0158
EDGE_068,2026-06-22,0.4904,0.3183,0,False,0.0288,0.6667,0.2822,1.0
EDGE_068,2026-06-23,0.6003,0.4029,1,False,0.2985,0.75,0.3855,1.0
EDGE_068,2026-06-24,0.5961,0.4609,2,False,0.3697,0.75,0.3238,1.0
EDGE_068,2026-06-25,0.528,0.481,3,False,0.0233,0.75,0.3279,1.0
EDGE_068,2026-06-26,0.5224,0.4934,4,False,0.0643,0.75,0.2819,1.0
EDGE_068,2026-06-27,0.5103,0.4985,5,True,0.1204,0.75,0.2042,1.0
EDGE_068,2026-06-28,0.4754,0.4916,6,True,0.1809,0.75,0.0473,1.0
EDGE_068,2026-06-29,0.2364,0.415,7,True,0.3688,0.5,0.0285,0.0204
EDGE_068,2026-06-30,0.4482,0.425,8,True,0.6944,0.9091,0.0819,0.0602
EDGE_069,2026-06-11,0.2335,0.2335,0,False,0.4351,0.0,0.2877,0.301
EDGE_069,2026-06-12,0.2239,0.2307,0,False,0.6381,0.0,0.1455,0.2634
EDGE_069,2026-06-13,0.196,0.2203,0,False,0.4278,0.0,0.1929,0.2629
EDGE_069,2026-06-14,0.2416,0.2267,0,False,0.521,0.0,0.2841,0.261
EDGE_069,2026-06-15,0.2178,0.224,0,False,0.4091,0.0,0.285,0.2522
EDGE_069,2026-06-16,0.2649,0.2363,0,False,0.5314,0.0,0.36,0.2531
EDGE_069,2026-06-17,0.2301,0.2344,0,False,0.4169,0.0,0.3174,0.2574
EDGE_069,2026-06-18,0.2381,0.2355,0,False,0.4551,0.0,0.3212,0.2534
EDGE_069,2026-06-19,0.2207,0.2311,0,False,0.2483,0.0,0.4011,0.2537
EDGE_069,2026-06-20,0.1969,0.2208,0,False,0.2019,0.0,0.354,0.2518
EDGE_069,2026-06-21,0.1533,0.2006,0,False,0.0996,0.0,0.276,0.2528
EDGE_069,2026-06-22,0.1777,0.1937,0,False,0.1839,0.0,0.2978,0.2579
EDGE_069,2026-06-23,0.1256,0.1733,0,False,0.0671,0.0,0.2007,0.2601
EDGE_069,2026-06-24,0.1206,0.1575,0,False,0.0846,0.0,0.1751,0.2559
EDGE_069,2026-06-25,0.1097,0.1432,0,False,0.1659,0.0,0.09,0.2479
EDGE_069,2026-06-26,0.0994,0.13,0,False,0.1089,0.0,0.094,0.2469
EDGE_069,2026-06-27,0.1176,0.1263,0,False,0.0584,0.0,0.1871,0.2489
EDGE_069,2026-06-28,0.1338,0.1285,0,False,0.0731,0.0,0.2317,0.2481
EDGE_069,2026-06-29,0.1147,0.1244,0,False,0.0338,0.0,0.1959,0.2456
EDGE_069,2026-06-30,0.0842,0.1123,0,False,0.0521,0.0,0.0846,0.2421
SVC_056,2026-06-11,0.1611,0.1611,0,False,0.7051,0.0,0.0,0.1003
SVC_056,2026-06-12,0.0835,0.1378,0,False,0.3639,0.0,0.0,0.0539
SVC_056,2026-06-13,0.0783,0.12,0,False,0.2972,0.0,0.0,0.0941
SVC_056,2026-06-14,0.0949,0.1124,0,False,0.4084,0.0,0.0,0.0661
SVC_056,2026-06-15,0.0771,0.1018,0,False,0.3381,0.0,0.0,0.0473
SVC_056,2026-06-16,0.058,0.0887,0,False,0.2364,0.0,0.0,0.0538
SVC_056,2026-06-17,0.035,0.0726,0,False,0.1142,0.0,0.0,0.0609
SVC_056,2026-06-18,0.0248,0.0582,0,False,0.058,0.0,0.0,0.0658
SVC_056,2026-06-19,0.016,0.0456,0,False,0.0063,0.0,0.0,0.0735
SVC_056,2026-06-20,0.0301,0.0409,0,False,0.0969,0.0,0.0,0.0536
SVC_056,2026-06-21,0.0253,0.0362,0,False,0.0688,0.0,0.0,0.0579
SVC_056,2026-06-22,0.0229,0.0322,0,False,0.0401,0.0,0.0,0.0744
SVC_056,2026-06-23,0.0274,0.0308,0,False,0.072,0.0,0.0,0.0652
SVC_056,2026-06-24,0.067,0.0417,0,False,0.2808,0.0,0.0,0.0542
SVC_056,2026-06-25,0.0523,0.0449,0,False,0.22,0.0,0.0,0.0416
SVC_056,2026-06-26,0.0592,0.0492,0,False,0.2615,0.0,0.0,0.0344
SVC_056,2026-06-27,0.0431,0.0473,0,False,0.1621,0.0,0.0,0.0534
SVC_056,2026-06-28,0.0468,0.0472,0,False,0.1846,0.0,0.0,0.0496
SVC_056,2026-06-29,0.0207,0.0392,0,False,0.0569,0.0,0.0,0.0466
SVC_056,2026-06-30,0.0121,0.0311,0,False,0.0187,0.0,0.0,0.0418
SVC_057,2026-06-11,0.1171,0.1171,0,False,0.1657,0.0,0.0,0.4199
SVC_057,2026-06-12,0.0731,0.1039,0,False,0.1211,0.0,0.0,0.2442
SVC_057,2026-06-13,0.0326,0.0825,0,False,0.0057,0.0,0.0,0.1572
SVC_057,2026-06-14,0.0337,0.0679,0,False,0.0396,0.0,0.0,0.1289
SVC_057,2026-06-15,0.0327,0.0573,0,False,0.0271,0.0,0.0,0.1364
SVC_057,2026-06-16,0.0839,0.0653,0,False,0.2776,0.0,0.0,0.1422
SVC_057,2026-06-17,0.0867,0.0717,0,False,0.3275,0.0,0.0,0.1058
SVC_057,2026-06-18,0.0897,0.0771,0,False,0.362,0.0,0.0,0.0864
SVC_057,2026-06-19,0.0968,0.083,0,False,0.4112,0.0,0.0,0.0729
SVC_057,2026-06-20,0.1239,0.0953,0,False,0.5096,0.0,0.0,0.1101
SVC_057,2026-06-21,0.1257,0.1044,0,False,0.4806,0.0,0.0,0.1481
SVC_057,2026-06-22,0.1382,0.1146,0,False,0.5503,0.0,0.0,0.141
SVC_057,2026-06-23,0.1122,0.1138,0,False,0.4292,0.0,0.0,0.1316
SVC_057,2026-06-24,0.0973,0.1089,0,False,0.3115,0.0,0.0,0.1749
SVC_057,2026-06-25,0.0812,0.1006,0,False,0.2214,0.0,0.0,0.1845
SVC_057,2026-06-26,0.1043,0.1017,0,False,0.335,0.0,0.0,0.1863
SVC_057,2026-06-27,0.09,0.0982,0,False,0.2827,0.0,0.0,0.1674
SVC_057,2026-06-28,0.1055,0.1004,0,False,0.4153,0.0,0.0,0.1121
SVC_057,2026-06-29,0.1057,0.102,0,False,0.4065,0.0,0.0,0.1219
SVC_057,2026-06-30,0.0899,0.0984,0,False,0.3101,0.0,0.0,0.1395
SVC_058,2026-06-11,0.2777,0.2777,0,False,0.0876,0.0,0.751,0.1742
SVC_058,2026-06-12,0.2729,0.2762,0,False,0.414,0.0,0.536,0.1466
SVC_058,2026-06-13,0.2477,0.2677,0,False,0.525,0.0,0.4099,0.0986
SVC_058,2026-06-14,0.1768,0.2404,0,False,0.64,0.0,0.1013,0.0922
SVC_058,2026-06-15,0.1618,0.2168,0,False,0.4848,0.0,0.173,0.0647
SVC_058,2026-06-16,0.1292,0.1905,0,False,0.4671,0.0,0.0688,0.0757
SVC_058,2026-06-17,0.1636,0.1825,0,False,0.5522,0.0,0.1213,0.084
SVC_058,2026-06-18,0.171,0.179,0,False,0.6938,0.0,0.0625,0.0672
SVC_058,2026-06-19,0.164,0.1745,0,False,0.5822,0.0,0.1167,0.0629
SVC_058,2026-06-20,0.1034,0.1532,0,False,0.382,0.0,0.0495,0.0605
SVC_058,2026-06-21,0.1405,0.1494,0,False,0.3399,0.0,0.2124,0.0438
SVC_058,2026-06-22,0.1172,0.1397,0,False,0.2607,0.0,0.1865,0.0456
SVC_058,2026-06-23,0.1966,0.1568,0,False,0.3758,0.0,0.3812,0.0357
SVC_058,2026-06-24,0.1929,0.1676,0,False,0.3021,0.0,0.42,0.0323
SVC_058,2026-06-25,0.1515,0.1628,0,False,0.0161,0.0,0.4769,0.0261
SVC_058,2026-06-26,0.1651,0.1635,0,False,0.1062,0.0,0.4609,0.0277
SVC_058,2026-06-27,0.1906,0.1716,0,False,0.3182,0.0,0.3931,0.0453
SVC_058,2026-06-28,0.166,0.1699,0,False,0.2246,0.0,0.3652,0.0577
SVC_058,2026-06-29,0.2494,0.1938,0,False,0.4423,0.0,0.4893,0.0708
SVC_058,2026-06-30,0.3456,0.2393,0,False,0.5112,0.5,0.2343,0.1155
SVC_059,2026-06-11,0.1809,0.1809,0,False,0.5043,0.0,0.1358,0.1965
SVC_059,2026-06-12,0.0682,0.1471,0,False,0.0938,0.0,0.1358,0.0438
SVC_059,2026-06-13,0.087,0.1291,0,False,0.1969,0.0,0.1358,0.0346
SVC_059,2026-06-14,0.0863,0.1163,0,False,0.0065,0.0,0.1358,0.2214
SVC_059,2026-06-15,0.0956,0.1101,0,False,0.0974,0.0,0.1358,0.1771
SVC_059,2026-06-16,0.1237,0.1142,0,False,0.2921,0.0,0.1358,0.1228
SVC_059,2026-06-17,0.1371,0.121,0,False,0.3747,0.0,0.1358,0.107
SVC_059,2026-06-18,0.1306,0.1239,0,False,0.3784,0.0,0.1358,0.0711
SVC_059,2026-06-19,0.1545,0.1331,0,False,0.4503,0.0,0.1358,0.1185
SVC_059,2026-06-20,0.1762,0.146,0,False,0.5572,0.0,0.1358,0.1199
SVC_059,2026-06-21,0.1674,0.1524,0,False,0.633,0.0,0.1358,0.0004
SVC_059,2026-06-22,0.1534,0.1527,0,False,0.5463,0.0,0.1358,0.0168
SVC_059,2026-06-23,0.1175,0.1422,0,False,0.3712,0.0,0.1358,0.0127
SVC_059,2026-06-24,0.101,0.1298,0,False,0.2984,0.0,0.1358,0.0027
SVC_059,2026-06-25,0.0934,0.1189,0,False,0.2349,0.0,0.1358,0.0285
SVC_059,2026-06-26,0.0837,0.1083,0,False,0.1892,0.0,0.1358,0.0257
SVC_059,2026-06-27,0.0741,0.0981,0,False,0.1667,0.0,0.1358,0.0001
SVC_059,2026-06-28,0.0793,0.0924,0,False,0.1618,0.0,0.1358,0.0309
SVC_059,2026-06-29,0.0848,0.0901,0,False,0.1777,0.0,0.1358,0.0426
SVC_059,2026-06-30,0.0793,0.0869,0,False,0.1641,0.0,0.1358,0.0287
SVC_060,2026-06-11,0.1176,0.1176,0,False,0.3154,0.0,0.1204,0.0922
SVC_060,2026-06-12,0.1184,0.1179,0,False,0.3916,0.0,0.1204,0.0196
SVC_060,2026-06-13,0.2817,0.167,0,False,0.1087,0.5,0.1204,0.369
SVC_060,2026-06-14,0.2741,0.1991,0,False,0.0745,0.5,0.1204,0.3653
SVC_060,2026-06-15,0.2588,0.217,0,False,0.1057,0.5,0.1204,0.2579
SVC_060,2026-06-16,0.2613,0.2303,0,False,0.0196,0.6667,0.0693,0.1829
SVC_060,2026-06-17,0.2525,0.237,0,False,0.0225,0.6667,0.0444,0.1736
SVC_060,2026-06-18,0.275,0.2484,0,False,0.0352,0.6667,0.0511,0.2633
SVC_060,2026-06-19,0.2866,0.2599,0,False,0.196,0.6667,0.0444,0.1706
SVC_060,2026-06-20,0.2023,0.2426,0,False,0.1764,0.5,0.0444,0.0186
SVC_060,2026-06-21,0.5295,0.3287,0,False,0.4856,0.6667,0.7406,0.0508
SVC_060,2026-06-22,0.5042,0.3813,1,False,0.4549,0.6667,0.6806,0.0452
SVC_060,2026-06-23,0.3882,0.3834,2,False,0.301,0.5,0.5426,0.0759
SVC_060,2026-06-24,0.3672,0.3785,3,False,0.2176,0.5,0.5128,0.0992
SVC_060,2026-06-25,0.3625,0.3737,4,False,0.2164,0.5,0.5128,0.077
SVC_060,2026-06-26,0.326,0.3594,5,True,0.1107,0.5,0.4791,0.0505
SVC_060,2026-06-27,0.3028,0.3424,0,False,0.0038,0.5,0.4667,0.0601
SVC_060,2026-06-28,0.1092,0.2724,0,False,0.2923,0.0,0.1204,0.0729
SVC_060,2026-06-29,0.1062,0.2226,0,False,0.3119,0.0,0.1204,0.0384
SVC_060,2026-06-30,0.2339,0.226,0,False,0.3435,0.5,0.0172,0.0504
SVC_061,2026-06-11,0.1108,0.1108,0,False,0.3553,0.0,0.0,0.1989
SVC_061,2026-06-12,0.087,0.1037,0,False,0.3611,0.0,0.0,0.0738
SVC_061,2026-06-13,0.0142,0.0768,0,False,0.0596,0.0,0.0,0.0113
SVC_061,2026-06-14,0.0306,0.063,0,False,0.148,0.0,0.0,0.0051
SVC_061,2026-06-15,0.0557,0.0608,0,False,0.2515,0.0,0.0,0.0267
SVC_061,2026-06-16,0.1858,0.0983,0,False,0.1455,0.5,0.0,0.0335
SVC_061,2026-06-17,0.1558,0.1155,0,False,0.0105,0.5,0.0,0.0185
SVC_061,2026-06-18,0.172,0.1325,0,False,0.0771,0.5,0.0,0.033
SVC_061,2026-06-19,0.1795,0.1466,0,False,0.131,0.5,0.0,0.0163
SVC_061,2026-06-20,0.1926,0.1604,0,False,0.1508,0.5,0.0,0.0623
SVC_061,2026-06-21,0.2145,0.1766,0,False,0.2634,0.5,0.0,0.0588
SVC_061,2026-06-22,0.2425,0.1964,0,False,0.4204,0.5,0.0,0.0421
SVC_061,2026-06-23,0.2263,0.2053,0,False,0.3787,0.5,0.0,0.0027
SVC_061,2026-06-24,0.2084,0.2062,0,False,0.2823,0.5,0.0,0.0095
SVC_061,2026-06-25,0.2192,0.2101,0,False,0.2749,0.5,0.0,0.071
SVC_061,2026-06-26,0.0305,0.1562,0,False,0.1383,0.0,0.0,0.0143
SVC_061,2026-06-27,0.0939,0.1375,0,False,0.4063,0.0,0.0,0.063
SVC_061,2026-06-28,0.0786,0.1199,0,False,0.3053,0.0,0.0,0.0879
SVC_061,2026-06-29,0.0378,0.0953,0,False,0.1476,0.0,0.0,0.0416
SVC_061,2026-06-30,0.0488,0.0813,0,False,0.2133,0.0,0.0,0.0308
SVC_062,2026-06-11,0.339,0.339,0,False,0.9191,0.0,0.2232,0.4412
SVC_062,2026-06-12,0.3354,0.338,0,False,0.2304,0.0,0.7441,0.3306
SVC_062,2026-06-13,0.2209,0.3029,0,False,0.1699,0.0,0.5126,0.1658
SVC_062,2026-06-14,0.2368,0.283,0,False,0.012,0.0,0.6769,0.1567
SVC_062,2026-06-15,0.1545,0.2445,0,False,0.0087,0.0,0.4576,0.0774
SVC_062,2026-06-16,0.181,0.2254,0,False,0.1687,0.0,0.4377,0.0797
SVC_062,2026-06-17,0.2134,0.2218,0,False,0.2338,0.0,0.5248,0.0459
SVC_062,2026-06-18,0.2159,0.2201,0,False,0.3829,0.0,0.4465,0.027
SVC_062,2026-06-19,0.2334,0.2241,0,False,0.5474,0.0,0.3849,0.0424
SVC_062,2026-06-20,0.1938,0.215,0,False,0.3586,0.0,0.3907,0.0246
SVC_062,2026-06-21,0.1921,0.2081,0,False,0.4709,0.0,0.3085,0.0269
SVC_062,2026-06-22,0.2359,0.2165,0,False,0.431,0.0,0.4733,0.0388
SVC_062,2026-06-23,0.2613,0.2299,0,False,0.4892,0.0,0.5238,0.0317
SVC_062,2026-06-24,0.4004,0.2811,0,False,0.3287,0.5,0.505,0.1657
SVC_062,2026-06-25,0.4249,0.3242,0,False,0.3167,0.5,0.5581,0.2208
SVC_062,2026-06-26,0.3992,0.3467,0,False,0.2437,0.5,0.4927,0.2633
SVC_062,2026-06-27,0.4478,0.377,1,False,0.4608,0.5,0.5162,0.2539
SVC_062,2026-06-28,0.4461,0.3978,2,False,0.4956,0.5,0.5177,0.2082
SVC_062,2026-06-29,0.4228,0.4053,3,False,0.5084,0.5,0.4871,0.1251
SVC_062,2026-06-30,0.4359,0.4145,4,False,0.4615,0.5,0.5111,0.2016
SVC_063,2026-06-11,0.1306,0.1306,0,False,0.2758,0.0,0.0,0.3772
SVC_063,2026-06-12,0.1305,0.1306,0,False,0.0698,0.0,0.0,0.5827
SVC_063,2026-06-13,0.1083,0.1239,0,False,0.1989,0.0,0.0,0.3428
SVC_063,2026-06-14,0.1128,0.1206,0,False,0.2609,0.0,0.0,0.3031
SVC_063,2026-06-15,0.1524,0.1301,0,False,0.5219,0.0,0.0,0.2399
SVC_063,2026-06-16,0.1007,0.1213,0,False,0.3886,0.0,0.0,0.115
SVC_063,2026-06-17,0.0359,0.0957,0,False,0.1679,0.0,0.0,0.0117
SVC_063,2026-06-18,0.0655,0.0866,0,False,0.3014,0.0,0.0,0.026
SVC_063,2026-06-19,0.131,0.0999,0,False,0.5037,0.0,0.0,0.1513
SVC_063,2026-06-20,0.1565,0.1169,0,False,0.5897,0.0,0.0,0.1927
SVC_063,2026-06-21,0.1036,0.1129,0,False,0.2314,0.0,0.0,0.2866
SVC_063,2026-06-22,0.0761,0.1019,0,False,0.0362,0.0,0.0,0.3442
SVC_063,2026-06-23,0.2405,0.1434,0,False,0.1942,0.5,0.0,0.2582
SVC_063,2026-06-24,0.2589,0.1781,0,False,0.276,0.5,0.0,0.2686
SVC_063,2026-06-25,0.2656,0.2043,0,False,0.2062,0.5,0.0,0.3719
SVC_063,2026-06-26,0.2241,0.2103,0,False,0.0903,0.5,0.0,0.2801
SVC_063,2026-06-27,0.211,0.2105,0,False,0.0192,0.5,0.0,0.2859
SVC_063,2026-06-28,0.2198,0.2133,0,False,0.1706,0.5,0.0,0.1784
SVC_063,2026-06-29,0.2389,0.221,0,False,0.1993,0.5,0.0,0.2453
SVC_063,2026-06-30,0.096,0.1835,0,False,0.1762,0.0,0.0,0.3037
USER_001,2026-06-15,0.3363,0.3363,0,False,0.3765,0.0,0.6892,0.2711
USER_001,2026-06-16,0.2042,0.2966,0,False,0.1909,0.0,0.3461,0.3107
USER_001,2026-06-17,0.244,0.2808,0,False,0.3987,0.0,0.4269,0.1809
USER_001,2026-06-18,0.3427,0.2994,0,False,0.5975,0.3333,0.3417,0.1036
USER_001,2026-06-19,0.3098,0.3025,0,False,0.4826,0.3333,0.3069,0.1059
USER_001,2026-06-21,0.2925,0.2995,0,False,0.4346,0.3333,0.2838,0.1023
USER_001,2026-06-22,0.227,0.2778,0,False,0.2177,0.3333,0.1937,0.1266
USER_001,2026-06-23,0.2197,0.2604,0,False,0.1974,0.5,0.0237,0.1158
USER_001,2026-06-24,0.1962,0.2411,0,False,0.0716,0.5,0.0343,0.1082
USER_001,2026-06-25,0.2021,0.2294,0,False,0.0598,0.5,0.0347,0.1483
USER_001,2026-06-26,0.1683,0.2111,0,False,0.0545,0.3333,0.0904,0.1515
USER_001,2026-06-27,0.1956,0.2064,0,False,0.1151,0.3333,0.1475,0.1418
USER_001,2026-06-28,0.1934,0.2025,0,False,0.1069,0.3333,0.1475,0.1389
USER_001,2026-06-29,0.1809,0.1961,0,False,0.0061,0.3333,0.182,0.1256
USER_001,2026-06-30,0.0842,0.1625,0,False,0.1667,0.0,0.0524,0.1758
USER_002,2026-06-12,0.2113,0.2113,0,False,0.413,0.0,0.4178,0.0168
USER_002,2026-06-13,0.1735,0.2,0,False,0.3419,0.0,0.3238,0.04
USER_002,2026-06-14,0.1963,0.1989,0,False,0.4214,0.0,0.2898,0.1251
USER_002,2026-06-15,0.1641,0.1884,0,False,0.3213,0.0,0.1662,0.25
USER_002,2026-06-16,0.0771,0.155,0,False,0.2093,0.0,0.0934,0.036
USER_002,2026-06-17,0.0484,0.123,0,False,0.1345,0.0,0.0521,0.0294
USER_002,2026-06-18,0.0227,0.0929,0,False,0.0506,0.0,0.0175,0.0366
USER_002,2026-06-19,0.0602,0.0831,0,False,0.0872,0.0,0.09,0.079
USER_002,2026-06-21,0.0546,0.0746,0,False,0.0919,0.0,0.0681,0.0788
